title,album,attribution,members,release_date,bpm,duration
"SINGING, DREAMING, NOW!",OVA,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2023.07.05,127,5:25
Wawawa*What's up!,OVA,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2023.07.05,182,3:53
LIVE with a smile!,LIVE with a smile! Collab,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2021.11.03,155,5:13
Miracle STAY TUNE!,LIVE with a smile! Collab,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2021.11.24,158,4:51
Multidimensional BIGBANG,IM@S Collab,Ayumu Uehara,Ayumu Uehara,2023.12.06,,
SUPER NOVA,SUPER NOVA,DiverDiva,"Karin Asaka, Ai Miyashita",2020.02.12,128,4:13
Love Triangle,SUPER NOVA,DiverDiva,"Karin Asaka, Ai Miyashita",2020.02.12,190,4:13
THE SECRET NiGHT,THE SECRET NiGHT,DiverDiva,"Karin Asaka, Ai Miyashita",2021.05.26,126,3:53
Fly into the sky,THE SECRET NiGHT,DiverDiva,"Karin Asaka, Ai Miyashita",2021.05.26,90,4:09
Eternal Light,Anime Season 2,DiverDiva,"Karin Asaka, Ai Miyashita",2022.05.25,178,4:06
Love Magic!!,Anime Season 2,DiverDiva,"Karin Asaka, Ai Miyashita",2022.05.25,150,3:48
Shadow Effect,Shadow Effect,DiverDiva,"Karin Asaka, Ai Miyashita",2022.10.05,128,3:56
Kiss the Sun,Shadow Effect,DiverDiva,"Karin Asaka, Ai Miyashita",2022.10.05,106,4:21
Dream Land! Dream World!,Dream Land! Dream World!,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2020.02.12,211,3:51
Cheer for you!!,Dream Land! Dream World!,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2020.02.12,151,3:39
Maze Town,Maze Town,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2021.06.16,135,
Folklore ~Song of Joy~,Maze Town,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2021.06.16,108,
Infinity! Our wings!!,Anime Season 2,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2022.06.08,180,4:31
Poker face & Onegai! Fairy,Anime Season 2,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2022.06.08,115,4:47
Blue!,Blue!,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2022.11.02,122,4:34
